Id,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,Id_HomeTeam,Id_AwayTeam
104,SP1,23/10/2022,Espanyol,Elche,2,2,D,1,1,D,13,9,5,4,13,10,5,3,2,3,0,0,1.66,3.75,5.25,1.68,3.8,5.0,8,7
105,SP1,23/10/2022,Betis,Atletico Madrid,1,2,A,0,0,D,17,9,4,3,10,17,7,4,2,3,0,0,3.2,3.3,2.3,3.1,3.3,2.3,4,2
106,SP1,23/10/2022,Girona,Osasuna,1,1,D,1,1,D,7,9,1,2,11,11,3,5,2,3,0,0,2.55,3.2,2.9,2.6,3.1,2.87,10,12
107,SP1,23/10/2022,Villarreal,Almeria,2,1,H,0,1,A,11,15,5,4,7,8,10,4,4,1,1,0,1.36,4.75,9.0,1.37,5.0,8.25,19,0
108,SP1,23/10/2022,Barcelona,Athletic Club,4,0,H,3,0,H,10,5,7,3,7,13,1,2,2,2,0,0,1.55,4.5,5.5,1.57,4.33,5.25,3,1
109,SP1,24/10/2022,Celta Vigo,Getafe,1,1,D,0,1,A,17,4,5,1,10,13,10,0,1,1,0,0,1.75,3.5,5.0,1.82,3.4,4.75,6,9
110,SP1,28/10/2022,Mallorca,Espanyol,1,1,D,0,0,D,12,7,5,2,15,9,4,4,4,1,0,0,2.25,3.1,3.4,2.3,3.0,3.4,11,8
111,SP1,29/10/2022,Almeria,Celta Vigo,3,1,H,0,1,A,19,8,5,3,10,7,6,4,4,0,0,1,3.3,3.3,2.25,3.2,3.4,2.2,0,6
112,SP1,29/10/2022,Cadiz,Atletico Madrid,3,2,H,1,0,H,10,15,7,7,15,12,5,3,2,4,0,0,7.0,3.6,1.6,6.0,3.75,1.62,5,2
113,SP1,29/10/2022,Sevilla,Rayo Vallecano,0,1,A,0,0,D,10,15,4,5,9,20,6,6,6,1,0,0,2.0,3.3,4.0,1.98,3.4,3.9,16,13
114,SP1,29/10/2022,Valencia,Barcelona,0,1,A,0,0,D,3,13,2,2,13,7,3,10,4,5,0,0,5.0,4.33,1.57,5.25,4.33,1.58,17,3
115,SP1,30/10/2022,Osasuna,Valladolid,2,0,H,2,0,H,20,7,10,2,14,16,1,8,1,3,0,0,1.9,3.4,4.33,1.9,3.5,4.0,12,18
116,SP1,30/10/2022,Real Madrid,Girona,1,1,D,0,0,D,19,8,6,2,16,8,7,1,3,3,1,0,1.2,6.5,13.0,1.21,7.0,12.5,14,10
117,SP1,30/10/2022,Athletic Club,Villarreal,1,0,H,0,0,D,19,6,7,3,12,10,6,2,2,1,0,0,2.2,3.3,3.4,2.15,3.4,3.3,1,19
118,SP1,30/10/2022,Real Sociedad,Betis,0,2,A,0,0,D,14,10,7,4,22,16,5,3,4,4,0,0,2.0,3.5,3.8,2.05,3.5,3.6,15,4
119,SP1,31/10/2022,Elche,Getafe,0,1,A,0,0,D,12,8,5,3,12,11,6,2,0,3,0,1,2.7,3.0,2.87,2.65,3.0,2.85,7,9
120,SP1,04/11/2022,Girona,Athletic Club,2,1,H,0,0,D,19,11,10,7,11,11,7,1,1,1,0,0,3.75,3.5,2.0,3.8,3.5,1.98,10,1
121,SP1,05/11/2022,Getafe,Cadiz,0,0,D,0,0,D,13,15,2,4,15,16,5,5,5,2,2,1,2.2,3.1,3.75,2.2,3.1,3.6,9,5
122,SP1,05/11/2022,Valladolid,Elche,2,1,H,1,0,H,16,4,11,2,9,10,8,4,2,0,0,0,1.83,3.6,4.33,1.83,3.7,4.2,18,7
123,SP1,05/11/2022,Celta Vigo,Osasuna,1,2,A,1,2,A,13,8,5,4,12,20,2,3,1,5,0,0,2.1,3.3,3.75,2.1,3.3,3.6,6,12
124,SP1,05/11/2022,Barcelona,Almeria,2,0,H,0,0,D,27,4,13,1,14,13,9,1,2,1,0,0,1.08,10.0,26.0,1.1,11.0,26.0,3,0
125,SP1,06/11/2022,Atletico Madrid,Espanyol,1,1,D,0,0,D,27,6,7,2,13,10,12,2,3,5,0,1,1.44,4.5,8.0,1.44,4.33,7.5,2,8
126,SP1,06/11/2022,Real Sociedad,Valencia,1,1,D,1,1,D,9,14,4,3,11,12,1,11,2,0,1,0,1.95,3.4,4.0,1.93,3.3,4.2,15,17
127,SP1,06/11/2022,Villarreal,Mallorca,0,2,A,0,1,A,9,7,2,5,17,16,5,2,4,6,0,0,1.57,4.0,5.75,1.61,3.9,5.5,19,11
128,SP1,06/11/2022,Betis,Sevilla,1,1,D,1,0,H,9,22,4,6,6,20,1,4,4,5,2,1,2.2,3.2,3.6,2.15,3.3,3.4,4,16
129,SP1,07/11/2022,Rayo Vallecano,Real Madrid,3,2,H,2,2,D,15,16,7,2,22,11,4,5,4,5,0,0,4.75,4.2,1.65,5.0,4.1,1.63,13,14
130,SP1,08/11/2022,Elche,Girona,1,2,A,1,1,D,11,21,2,3,16,9,2,5,3,2,0,0,3.25,3.3,2.2,3.3,3.25,2.2,7,10
131,SP1,08/11/2022,Athletic Club,Valladolid,3,0,H,1,0,H,19,8,6,0,20,6,10,2,3,1,0,0,1.4,4.5,7.5,1.42,4.6,7.25,1,18
132,SP1,08/11/2022,Osasuna,Barcelona,1,2,A,1,0,H,15,9,3,3,15,6,2,5,4,4,0,2,5.75,4.2,1.53,5.75,4.33,1.53,12,3
133,SP1,09/11/2022,Almeria,Getafe,1,0,H,1,0,H,8,11,3,3,17,8,7,6,8,4,1,0,2.15,3.3,3.5,2.15,3.2,3.5,0,9
134,SP1,09/11/2022,Sevilla,Real Sociedad,1,2,A,1,2,A,6,17,3,9,9,12,2,1,2,2,2,0,2.6,3.2,2.8,2.55,3.1,2.87,16,15
135,SP1,09/11/2022,Espanyol,Villarreal,0,1,A,0,0,D,14,10,6,3,11,6,4,7,1,3,0,0,3.2,3.2,2.37,3.0,3.25,2.37,8,19
136,SP1,09/11/2022,Mallorca,Atletico Madrid,1,0,H,1,0,H,9,17,3,5,14,17,2,5,5,3,0,0,3.8,3.1,2.1,3.75,3.1,2.1,11,2
137,SP1,10/11/2022,Rayo Vallecano,Celta Vigo,0,0,D,0,0,D,10,11,3,3,19,16,5,3,7,1,0,0,2.2,3.2,3.5,2.1,3.25,3.5,13,6
138,SP1,10/11/2022,Valencia,Betis,3,0,H,0,0,D,15,5,7,1,12,9,5,5,1,3,0,1,2.1,3.4,3.6,2.1,3.3,3.5,17,4
139,SP1,10/11/2022,Real Madrid,Cadiz,2,1,H,1,0,H,18,10,5,5,12,16,7,1,3,3,0,0,1.14,8.5,15.0,1.15,8.25,18.5,14,5
140,SP2,12/08/2022,Levante,Huesca,0,0,D,0,0,D,16,9,2,2,19,9,10,2,3,1,0,0,1.6,3.75,6.0,1.55,3.6,5.25,31,28
141,SP2,13/08/2022,Eibar,Tenerife,2,1,H,0,0,D,12,6,3,1,15,6,6,4,4,2,0,0,2.05,3.2,4.0,1.98,2.95,3.8,26,38
142,SP2,13/08/2022,CD Mirandes,Sporting Gijon,1,1,D,1,1,D,15,8,2,4,16,5,3,2,1,2,0,0,2.6,3.25,2.7,2.6,3.1,2.55,25,37
143,SP2,13/08/2022,Leganes,Alaves,1,2,A,0,1,A,15,9,2,3,11,14,3,3,3,3,0,0,2.62,3.25,2.7,2.5,3.0,2.65,30,20
144,SP2,13/08/2022,Las Palmas,Zaragoza,0,0,D,0,0,D,12,8,5,3,11,20,4,2,5,3,0,0,1.95,3.4,4.2,1.9,3.2,3.7,29,41
145,SP2,14/08/2022,Racing Sant,Villarreal B,0,2,A,0,0,D,8,10,5,5,21,18,1,3,1,2,0,0,2.1,3.25,3.75,2.05,3.0,3.4,36,40
