,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG
55,Real Sociedad,30,25.0,54.9,38,418,"3,420",38.0,58,39,49,9,12,81,1,1.53,1.03,2.55,1.29,2.32,60.7,51.5,39.6,91.1,1.60,1.04,2.64,1.36,2.40
56,Sevilla,26,28.1,60.9,38,418,"3,420",38.0,52,36,46,6,7,79,2,1.37,0.95,2.32,1.21,2.16,54.4,48.9,41.0,90.0,1.43,1.08,2.51,1.29,2.37
57,Valencia,30,25.2,46.9,38,418,"3,420",38.0,48,35,40,8,10,82,5,1.26,0.92,2.18,1.05,1.97,42.6,34.8,27.3,62.1,1.12,0.72,1.84,0.92,1.63
58,Valladolid,32,28.1,45.2,38,418,"3,420",38.0,34,21,27,7,8,93,4,0.89,0.55,1.45,0.71,1.26,40.1,33.8,24.2,58.0,1.05,0.64,1.69,0.89,1.53
59,Villarreal,29,28.0,55.2,38,418,"3,420",38.0,57,33,45,12,13,67,5,1.50,0.87,2.37,1.18,2.05,56.4,46.4,40.5,86.9,1.48,1.06,2.55,1.22,2.29
60,Alavés,32,27.6,41.5,38,418,"3,420",38.0,34,20,28,6,6,111,7,0.89,0.53,1.42,0.74,1.26,39.3,34.7,26.9,61.6,1.03,0.71,1.74,0.91,1.62
61,Athletic Club,26,26.7,48.7,38,418,"3,420",38.0,40,23,32,8,10,90,2,1.05,0.61,1.66,0.84,1.45,41.5,33.8,26.2,60.0,1.09,0.69,1.78,0.89,1.58
62,Atlético Madrid,30,26.1,48.6,38,418,"3,420",38.0,50,35,44,6,8,93,3,1.32,0.92,2.24,1.16,2.08,56.8,50.6,39.4,90.0,1.50,1.04,2.53,1.33,2.37
63,Barcelona,28,27.8,66.4,38,418,"3,420",38.0,84,62,78,6,6,92,6,2.21,1.63,3.84,2.05,3.68,66.3,61.7,49.5,111.2,1.75,1.30,3.05,1.62,2.93
64,Betis,27,27.5,56.7,38,418,"3,420",38.0,48,35,42,6,8,108,9,1.26,0.92,2.18,1.11,2.03,51.0,45.2,36.9,82.0,1.34,0.97,2.31,1.19,2.16
